student_id,attendance_rate,avg_marks,failed_subjects,fee_delay_days,guardian_income,disciplinary_actions,previous_dropout_risk,dropout
604,45.32,53.07,1,64,45143,0,0,0
605,47.24,34.51,3,44,44425,2,0,1
606,67.65,63.74,1,67,90139,1,1,1
607,52.38,34.39,3,6,20368,2,1,1
608,61.86,82.02,2,48,19621,1,0,0
609,70.21,45.19,2,8,73829,3,1,1
610,81.42,65.1,2,35,75294,2,0,0
611,42.36,87.21,5,82,29719,2,1,1
612,87.96,72.31,2,0,44227,4,0,0
613,77.67,64.64,0,9,22566,2,1,0
614,44.91,51.08,0,35,27306,1,0,0
615,92.41,51.65,5,72,68822,4,1,1
616,95.25,73.52,4,45,39042,2,0,0
617,43.66,94.62,1,31,30086,2,0,0
618,56.61,73.02,3,31,32387,3,1,1
619,88.37,66.26,3,5,42042,2,1,1
620,84.9,77.49,5,47,66618,0,0,0
621,51.07,60.24,0,37,33323,4,0,0
622,52.56,33.91,3,16,33019,0,0,1
623,62.23,66.55,0,73,90426,4,0,0
624,69.07,92.25,4,26,55863,3,1,1
625,77.1,41.39,1,53,25283,2,0,0
626,62.13,74.85,4,49,33279,2,0,1
627,67.75,43.06,5,34,61999,2,0,1
628,84.85,64.83,2,84,77780,4,1,1
629,42.2,36.28,2,24,37908,2,0,1
630,55.15,59.27,2,27,76584,0,1,1
631,82.8,79.15,4,14,65225,2,1,1
632,93.71,52.59,3,3,52952,3,1,1
633,70.7,73.22,1,72,52663,0,1,0
634,71.93,81.7,2,26,76381,2,1,1
635,46.43,90.27,5,25,62929,2,1,1
636,66.84,45.25,5,18,24343,1,1,1
637,71.96,55.96,2,16,91173,4,0,0
638,54.55,39.91,2,42,54791,0,0,0
639,56.15,94.51,1,40,44134,1,1,0
640,62.64,90.26,2,41,62101,3,0,0
641,41.2,65.1,1,49,84443,4,0,1
642,59.32,84.73,5,83,72530,0,1,1
643,52.69,63.86,2,39,61799,2,0,0
644,59.65,70.53,4,38,19827,0,1,1
645,47.19,35.79,4,22,77653,2,0,1
646,93.43,79.09,5,51,28699,4,1,1
647,75.62,38.3,1,46,20313,2,1,1
648,80.75,83.69,4,62,28598,3,0,1
649,87.35,80.83,1,68,43807,2,0,0
650,69.91,76.07,4,42,85423,3,1,1
651,45.22,32.35,4,47,84390,4,1,1
652,72.23,49.7,1,33,60226,4,1,1
653,75.21,47.1,3,39,74550,0,0,0
654,84.73,53.41,4,74,95072,3,0,1
655,65.9,35.7,2,60,18558,3,0,1
656,47.65,90.9,5,49,90308,1,0,1
657,57.03,66.0,3,66,65113,1,1,1
658,61.78,49.86,1,61,67999,1,1,1
659,78.76,55.8,3,57,70878,2,1,1
660,74.25,59.07,0,32,51343,1,1,0
661,61.37,69.04,0,74,73219,3,0,0
662,99.19,63.52,4,15,50186,2,1,1
663,76.35,89.76,4,81,51966,4,1,1
664,54.23,62.3,2,47,48769,0,0,0
665,46.11,94.49,5,9,68218,1,0,1
666,49.17,85.34,3,81,34229,4,1,1
667,54.76,43.55,0,37,90209,3,0,0
668,49.64,90.49,4,18,42877,0,1,1
669,51.19,37.56,5,35,73001,4,0,1
670,57.11,83.13,3,58,53084,0,0,0
671,50.4,54.74,4,62,96780,1,1,1
672,93.81,87.07,4,76,31806,3,0,0
673,44.81,86.42,0,45,52034,0,1,0
674,71.47,82.39,0,2,55317,4,0,0
675,64.62,81.35,4,73,70468,1,0,1
676,98.94,49.8,1,64,34094,1,0,0
677,46.72,35.26,4,90,72796,4,0,1
678,63.87,56.19,5,7,25589,4,0,1
679,98.17,41.28,4,50,72221,0,1,1
680,91.93,75.17,2,80,16657,2,0,0
681,89.02,52.5,2,72,54531,1,1,1
682,55.47,93.41,2,5,67227,0,0,0
683,50.25,71.66,1,88,18164,4,1,1
684,80.12,83.46,1,38,98973,0,0,0
685,95.76,38.61,4,59,56247,4,1,1
686,73.41,86.03,2,27,34601,3,1,1
687,74.3,89.98,1,53,65599,4,0,0
688,56.8,61.66,0,36,86545,4,0,0
689,86.17,69.41,4,8,19552,4,0,0
690,51.22,79.71,5,81,24417,2,1,1
691,59.42,41.36,3,55,73579,4,1,1
692,65.53,62.67,4,58,83207,1,0,1
693,70.46,55.91,3,84,87055,1,0,1
694,54.54,39.51,2,1,93270,0,1,1
695,46.89,53.89,3,60,18722,2,1,1
696,76.64,34.43,2,57,85442,0,0,0
697,57.32,31.68,0,59,55031,1,1,1
698,74.87,38.79,3,39,94235,1,0,0
699,49.26,92.6,4,35,36438,3,0,1
700,68.87,65.72,2,36,73819,4,0,0
701,71.96,92.78,4,78,58856,1,1,1
702,43.11,58.11,1,17,48576,0,1,1
703,60.2,50.27,2,62,56938,0,1,1
704,48.06,62.9,3,21,64028,4,1,1
705,43.8,58.57,2,10,74807,4,0,1
706,99.4,36.87,4,57,64877,3,1,1
707,59.34,71.65,0,56,58461,2,0,0
708,88.59,44.04,2,76,55469,0,0,0
709,55.28,70.27,3,3,98136,4,0,1
710,80.89,72.26,1,85,35435,0,1,0
711,85.61,39.88,5,6,99117,4,0,1
712,75.74,33.99,0,60,29191,1,0,0
713,68.29,80.75,1,53,99726,0,1,0
714,64.71,59.89,2,87,42386,1,0,0
715,60.93,33.78,4,67,46721,0,1,1
716,95.77,94.67,4,78,69786,2,1,1
717,89.84,33.76,3,0,28704,3,1,1
718,97.9,75.18,4,54,71635,1,0,0
719,47.46,93.94,0,2,17123,4,1,0
720,83.85,45.55,4,77,77993,2,1,1
721,96.3,39.25,3,37,95122,0,1,1
722,50.87,37.89,5,0,40416,1,1,1
723,43.99,49.71,2,37,16814,0,0,0
724,84.47,36.57,2,84,93537,0,1,1
725,74.47,74.99,4,28,65258,0,0,0
726,90.51,34.05,1,4,31508,3,1,1
727,48.39,63.11,2,73,93916,3,0,1
728,87.72,94.79,5,20,50699,4,1,1
729,52.1,82.91,4,70,61335,1,0,1
730,49.82,69.99,3,66,61806,2,1,1
731,49.86,49.91,5,46,92853,2,0,1
732,88.87,70.55,4,83,78768,2,0,1
733,79.91,64.26,5,82,50739,0,0,1
734,71.38,57.7,2,34,49785,3,1,1
735,61.53,38.5,3,67,46980,1,0,1
736,92.63,87.63,4,68,16609,0,0,0
737,63.55,59.24,0,0,81253,3,0,0
738,89.0,42.65,3,67,43141,3,0,1
739,66.35,53.9,0,11,45009,1,1,0
740,62.62,56.92,5,59,21782,1,0,1
741,67.76,83.79,1,26,40933,1,0,0
742,58.08,77.68,3,55,92154,0,0,0
743,84.86,80.0,5,22,23307,4,1,1
744,70.16,30.72,0,24,90874,1,0,0
745,53.93,57.05,2,20,53346,4,0,1
746,93.97,61.29,2,60,65772,0,0,0
747,63.03,31.25,1,62,87084,4,0,1
748,72.61,46.89,3,51,55149,2,1,1
749,94.39,79.42,3,87,42526,4,0,0
750,77.45,38.91,3,24,83477,1,0,0
751,47.01,64.8,5,54,20695,0,1,1
752,96.39,43.99,1,45,54169,1,1,0
753,77.66,30.79,3,31,62947,2,1,1
754,60.09,45.68,5,54,62224,1,0,1
755,48.36,93.43,2,4,60865,1,1,1
756,87.64,82.1,0,35,40553,1,0,0
757,77.2,92.37,5,48,75410,3,1,1
758,72.01,61.71,2,57,39816,2,0,0
759,93.63,37.13,2,38,70026,1,1,1
760,87.32,65.62,0,79,65705,1,0,0
761,49.1,59.53,2,84,76922,1,1,1
762,58.7,84.88,1,60,88914,0,0,0
763,54.91,36.38,0,8,16881,3,0,0
764,84.64,61.74,2,5,54567,0,0,0
765,42.01,39.75,4,34,62365,3,0,1
766,74.19,51.1,5,38,94211,1,0,1
767,85.75,77.93,2,21,85122,2,0,0
768,92.61,60.94,1,40,40006,4,0,0
769,60.52,54.43,3,4,56198,4,0,1
770,89.28,55.64,2,41,37831,1,1,1
771,46.64,59.86,3,86,31459,0,0,1
772,90.79,81.03,4,80,47443,2,0,0
773,47.65,87.99,2,75,57316,3,1,1
774,63.84,92.1,0,86,79486,1,0,0
775,87.84,81.15,3,79,20877,2,1,1
776,49.0,50.5,4,66,54553,2,0,1
777,53.76,74.73,0,29,19922,3,1,1
778,83.34,58.44,0,56,19686,2,1,0
779,83.2,46.55,0,85,47766,0,0,0
780,78.47,84.66,0,72,94943,0,1,0
781,81.64,32.5,2,28,47006,0,0,0
782,72.56,88.61,5,36,46422,2,0,1
783,55.11,60.0,2,86,27205,0,0,0
784,60.74,71.42,2,12,38527,3,0,0
785,50.9,72.86,4,31,33443,2,1,1
786,94.51,88.18,4,45,31524,4,0,0
787,75.0,71.38,5,22,43202,2,1,1
788,64.05,69.91,4,44,80552,3,1,1
789,67.72,34.33,1,16,61142,4,0,0
790,96.84,63.7,5,84,76692,2,0,1
791,49.2,39.76,4,65,97384,0,0,1
792,75.17,77.93,5,5,35855,1,0,0
793,70.35,63.29,2,17,98747,1,1,1
794,76.69,74.21,2,21,75372,0,0,0
795,41.09,32.71,5,32,40095,1,1,1
796,92.33,35.51,1,29,53724,1,0,0
797,95.93,76.56,1,80,64241,0,0,0
798,73.91,34.69,5,31,67003,0,0,1
799,81.8,34.63,4,41,83379,2,0,1
800,95.35,30.79,3,77,30972,2,1,1
801,82.43,92.17,1,9,37927,0,1,0
802,49.15,77.94,0,35,81630,3,0,0
803,74.58,52.96,2,33,67347,1,1,1
804,76.4,49.27,5,72,84518,2,1,1
805,65.45,52.73,0,27,60283,1,0,0
806,84.19,80.35,5,10,96326,4,0,1
807,96.06,72.99,2,77,27205,0,1,0
808,95.53,42.04,2,38,27748,3,1,1
809,67.05,41.32,1,46,36097,4,1,1
810,46.79,36.4,1,18,18092,4,1,1
811,99.09,72.92,0,14,68311,4,0,0
812,90.33,79.68,5,27,37692,0,0,0
813,47.48,47.23,2,23,38862,2,1,1
814,95.25,31.36,0,71,94507,0,0,0
815,92.19,35.34,3,8,95152,2,1,1
816,71.13,92.91,0,46,85469,4,1,0
817,75.48,49.2,4,32,19926,4,0,1
818,63.94,80.0,0,61,18969,3,1,1
819,43.29,70.6,4,18,50733,2,1,1
820,60.11,54.83,4,66,84855,4,0,1
821,88.17,43.37,4,73,56743,1,0,1
822,40.28,37.89,3,39,54876,3,1,1
823,60.01,69.98,0,46,35323,0,1,0
824,63.89,80.35,0,64,31428,3,0,0
825,72.24,71.85,3,28,49578,1,1,1
826,95.19,64.47,2,49,79140,2,1,1
827,60.78,32.73,1,12,98829,0,0,0
828,60.82,92.95,0,0,21364,0,0,0
829,84.25,81.92,1,33,50349,2,0,0
830,67.13,49.03,5,47,15691,3,0,1
831,53.48,93.7,5,76,81467,4,0,1
832,67.15,69.12,3,47,60896,3,0,1
833,48.45,67.86,5,48,72062,1,1,1
834,50.58,78.62,5,63,94762,4,1,1
835,69.9,82.77,2,60,28861,3,0,0
836,65.14,72.67,2,28,78928,2,0,0
837,94.89,38.33,2,38,98231,1,1,1
838,61.74,51.99,5,87,56347,1,1,1
839,74.84,90.33,3,25,18121,1,1,1
840,77.94,44.6,4,16,98793,4,0,1
841,40.79,54.19,4,70,43164,0,0,1
842,79.81,58.08,1,12,40491,4,1,1
843,50.68,58.56,4,68,74222,3,0,1
844,97.66,69.84,4,25,38165,0,0,0
845,48.92,91.3,2,48,18748,3,0,0
846,64.88,45.65,2,66,41553,0,1,1
847,45.12,37.9,5,6,75380,4,1,1
848,99.81,42.84,1,57,59331,1,0,0
849,70.13,87.65,0,48,54560,2,0,0
850,75.72,71.98,1,52,68865,1,0,0
851,44.02,48.58,1,64,61686,4,0,1
852,85.0,83.04,3,61,90910,0,0,0
853,52.59,85.99,5,16,19675,1,1,1
854,93.88,85.02,3,42,81706,4,0,0
855,52.31,89.73,1,24,92986,3,0,0
856,51.44,46.4,1,2,91216,2,0,0
857,42.19,79.08,1,78,25068,1,1,1
858,68.32,59.94,4,28,69460,0,1,1
859,73.89,84.73,3,31,61418,3,0,0
860,43.94,77.35,1,25,41206,4,1,1
861,86.53,80.47,2,15,15287,2,1,0
862,67.2,72.65,5,24,37337,0,1,1
863,71.46,41.53,5,53,35666,4,1,1
864,66.45,65.43,2,27,16161,4,1,1
865,64.05,94.0,5,72,53751,1,1,1
866,73.58,90.93,4,55,97063,1,0,0
867,49.31,32.81,4,64,29758,0,1,1
868,50.92,40.71,0,85,80780,4,1,1
869,91.71,38.56,0,79,18178,1,0,0
870,96.77,77.19,0,40,46831,2,0,0
871,62.4,83.16,5,50,17176,2,0,1
872,56.24,43.88,4,70,48654,4,0,1
873,78.64,62.88,4,77,41627,1,1,1
874,64.52,84.65,4,28,67550,0,1,1
875,41.52,77.63,2,82,59910,0,1,1
876,49.37,65.25,4,18,73251,0,1,1
877,82.96,68.37,2,65,50422,2,0,0
878,79.54,63.04,0,40,26984,1,1,0
879,41.63,49.34,0,44,76386,1,1,1
880,53.32,66.73,5,14,98291,2,0,1
881,53.86,74.78,0,2,22135,0,1,0
882,80.31,86.77,5,10,15320,0,1,1
883,41.18,71.36,1,52,36684,4,1,1
884,46.25,79.47,1,45,70913,3,1,1
885,87.99,40.4,3,29,36889,1,0,0
886,50.71,60.0,5,56,63899,1,0,1
887,79.16,30.61,3,17,25770,1,0,0
888,54.29,46.03,3,50,54321,3,0,1
889,45.97,77.22,1,47,56777,4,0,0
890,54.59,94.47,5,65,61250,3,1,1
891,83.34,36.45,1,7,88034,0,1,0
892,91.34,56.1,3,21,55130,0,0,0
893,89.81,82.0,5,5,96931,1,0,0
894,63.83,43.26,3,75,64346,2,0,1
895,80.09,66.08,4,56,17537,1,1,1
896,52.3,77.65,5,35,99762,2,0,1
897,57.59,70.04,5,78,30216,3,1,1
898,93.78,42.22,3,56,99149,0,1,1
899,40.78,53.1,4,48,18009,2,1,1
900,45.13,80.95,2,44,44327,3,1,1
901,52.47,66.02,1,81,29209,0,0,0
902,41.59,30.34,3,65,63443,2,1,1
903,50.89,79.46,5,76,30029,1,1,1
904,74.98,32.3,1,44,82613,1,0,0
905,65.29,78.47,1,78,94443,1,1,1
906,93.56,43.16,1,19,71997,3,1,1
907,89.05,92.27,2,63,77559,1,1,0
908,60.51,53.92,0,66,79892,4,0,0
909,55.57,51.25,3,82,85409,0,1,1
910,62.78,39.68,0,2,23635,3,1,1
911,75.42,49.86,0,53,48065,1,0,0
912,56.08,86.98,0,77,48783,0,0,0
913,77.45,94.76,1,63,49152,2,1,0
914,64.56,53.94,4,39,73741,1,1,1
915,73.12,59.16,1,58,66502,0,0,0
916,66.17,76.93,1,54,44092,4,1,1
917,57.67,87.6,5,61,32653,2,0,1
918,96.91,68.55,5,3,55469,4,1,1
919,85.82,55.45,0,59,74754,0,0,0
920,48.41,56.82,1,74,44978,4,1,1
921,92.11,75.22,0,90,58169,0,0,0
922,69.25,30.21,5,29,63287,0,0,1
923,93.67,70.27,4,1,69745,4,0,0
924,87.99,53.11,3,61,20543,0,0,0
925,65.51,81.62,0,48,71392,1,0,0
926,41.35,36.04,4,8,36067,0,1,1
927,56.12,68.23,3,30,66033,3,1,1
928,72.5,61.26,2,60,60256,0,0,0
929,78.01,71.75,0,78,84345,3,1,1
930,55.47,34.22,0,47,37191,0,1,1
931,48.36,67.7,2,24,87742,0,1,1
932,90.1,66.5,2,35,43992,4,1,1
933,99.06,66.44,0,7,96531,1,1,0
934,71.54,69.23,2,72,63803,1,1,1
935,50.3,73.97,1,57,78477,2,0,0
936,56.34,82.32,3,44,28210,4,1,1
937,41.1,47.54,3,61,98329,4,1,1
938,94.86,83.63,3,38,41270,1,1,0
939,47.07,62.39,1,57,77008,4,0,1
940,74.59,35.01,2,80,20197,1,1,1
941,56.44,33.81,4,82,22452,4,1,1
942,73.25,51.73,2,63,56486,0,1,1
943,79.09,81.02,0,43,29859,1,0,0
944,89.78,76.0,5,28,42236,1,1,1
945,52.39,81.26,3,58,46899,3,0,1
946,40.66,63.62,2,70,47083,4,1,1
947,48.21,58.61,4,8,82708,4,0,1
948,94.0,39.58,0,5,31663,1,0,0
949,92.43,51.33,1,28,34053,0,0,0
950,75.84,58.21,1,57,26085,0,1,0
951,76.03,35.76,4,16,45564,0,0,0
952,79.9,44.34,0,15,74095,4,0,0
953,50.52,68.88,3,86,84517,3,0,1
954,94.86,77.82,2,2,36153,1,0,0
955,65.13,94.89,0,20,20247,2,1,0
956,62.99,90.65,1,63,25553,3,1,1
957,71.14,71.77,4,89,35811,2,1,1
958,42.82,57.38,4,35,21135,3,1,1
959,49.98,71.35,2,85,20573,0,0,0
960,84.28,81.07,4,61,94267,4,1,1
961,44.97,37.69,4,41,22189,2,0,1
962,76.19,56.64,0,75,95077,3,1,1
963,54.72,84.59,3,41,58646,4,1,1
964,63.36,54.95,2,60,91623,2,1,1
965,57.32,67.17,0,12,68687,1,0,0
966,61.34,68.21,3,10,83312,3,1,1
967,83.14,41.99,0,53,42564,1,1,0
968,57.83,53.55,5,15,43835,0,1,1
969,73.98,51.74,0,7,76587,1,0,0
970,68.56,31.7,4,58,22697,1,1,1
971,79.82,31.57,3,56,95165,3,1,1
972,96.21,84.06,2,39,88922,0,0,0
973,83.95,47.75,2,58,32046,1,0,0
974,52.9,63.68,3,1,72823,4,1,1
975,41.87,49.42,4,75,88580,2,1,1
976,55.74,91.14,1,9,68370,1,1,0
977,75.7,46.85,0,43,24615,0,0,0
978,43.09,57.93,4,10,20060,1,0,1
979,69.78,86.73,5,78,91436,2,0,1
980,75.81,84.73,3,79,75519,0,1,1
981,60.05,42.1,0,80,86117,3,0,0
982,86.25,82.17,2,89,76158,0,1,0
983,46.4,59.78,1,1,49782,3,0,0
984,44.51,61.39,5,49,93533,0,0,1
985,83.69,38.68,2,11,73255,2,0,0
986,69.73,35.24,3,89,87684,2,1,1
987,81.3,77.32,0,22,71918,0,1,0
988,66.09,62.27,3,17,99284,1,1,1
989,54.78,58.4,0,61,94558,2,1,1
990,89.15,77.42,4,61,96422,3,0,0
991,87.96,79.76,1,37,40256,3,1,0
992,81.68,40.33,4,66,45005,4,0,1
993,56.33,69.66,4,37,21638,3,1,1
994,75.41,38.8,3,66,52419,4,1,1
995,61.66,78.84,1,60,48377,0,0,0
996,45.49,72.7,0,0,58116,0,0,0
997,95.04,92.18,0,44,51634,0,1,0
998,48.21,34.48,5,27,97291,1,1,1
999,97.01,33.71,2,20,38382,1,0,0
1000,66.76,48.34,5,12,71063,4,0,1
